Id,Title,Method,Target,Operator,Expected,ExpectedData,ExpectedJson,TargetsJson,ValueType,SourceType,RegOption,CheckType,ManualReason
1.1,Ensure 'Allow Cortana Above Lock' is set to 'Block',Registry,HKLM\Software\Microsoft\PolicyManager\Providers\{GUID}\Default\Device\AboveLock\AllowCortanaAboveLock,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Microsoft\\PolicyManager\\Providers\\{GUID}\\Default\\Device\\AboveLock"",""Name"":""AllowCortanaAboveLock"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL"",""GuidRegKey"":""HKLM\\Software\\Microsoft\\PolicyManager\\Current\\Device\\AboveLock""}]",POLICY_DWORD,GUID_REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.1.3.1,Ensure 'Prevent enabling lock screen camera' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\Personalization\NoLockScreenCamera,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\Personalization"",""Name"":""NoLockScreenCamera"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.1.3.2,Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\Personalization\NoLockScreenSlideshow,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\Personalization"",""Name"":""NoLockScreenSlideshow"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.4.1,Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled',Registry,HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System"",""Name"":""LocalAccountTokenFilterPolicy"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.4.2,Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)',Registry,HKLM\SYSTEM\CurrentControlSet\Services\mrxsmb10\Start,Equals,4,4,,"[{""Path"":""HKLM\\SYSTEM\\CurrentControlSet\\Services\\mrxsmb10"",""Name"":""Start"",""Operator"":""Equals"",""Expected"":""4"",""ExpectedData"":""4"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.4.3,Ensure 'Configure SMB v1 server' is set to 'Disabled',Registry,HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\SMB1,Equals,0,0,,"[{""Path"":""HKLM\\SYSTEM\\CurrentControlSet\\Services\\LanmanServer\\Parameters"",""Name"":""SMB1"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.4.4,Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled',Registry,HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\kernel\DisableExceptionChainValidation,Equals,0,0,,"[{""Path"":""HKLM\\SYSTEM\\CurrentControlSet\\Control\\Session Manager\\kernel"",""Name"":""DisableExceptionChainValidation"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.4.5,Ensure 'WDigest Authentication' is set to 'Disabled',Registry,HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest\UseLogonCredential,Equals,0,0,,"[{""Path"":""HKLM\\SYSTEM\\CurrentControlSet\\Control\\SecurityProviders\\WDigest"",""Name"":""UseLogonCredential"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.5.2,"Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled'",Registry,HKLM\System\CurrentControlSet\Services\Tcpip6\Parameters\DisableIPSourceRouting,Equals,2,2,,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Services\\Tcpip6\\Parameters"",""Name"":""DisableIPSourceRouting"",""Operator"":""Equals"",""Expected"":""2"",""ExpectedData"":""2"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.5.3,"Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled'",Registry,HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\DisableIPSourceRouting,Equals,2,2,,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Services\\Tcpip\\Parameters"",""Name"":""DisableIPSourceRouting"",""Operator"":""Equals"",""Expected"":""2"",""ExpectedData"":""2"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
